Contig,count,Depth avg,std,min,25%,Depth median,75%,max,count_nonzero,count_unique,count_unique_nonzero,sample,dataset,ncbi,region,id,distribution,genome_size,weighted_dist,readshare,expected_average_coverage,simulation_error,corrected_median,raw_error,corrected_error,RE,RE_corr
NZ_LT906470.1.region003,21755.0,26.05984831073317,7.531955390481498,10.0,22.0,25.0,29.0,110.0,21755,21739,21739,sample_1,0_5GB,NZ_LT906470_1,region003,Genome5,0.2010783062201078,2041290,410459.1357040439,62262345.29681787,30.501469804299177,0.03,47.395115840255244,-5.501469804299177,16.893646035956067,-0.18036736719893234,0.5538633431223996
NZ_LT906470.1.region001,26313.0,25.679284004104435,7.910731800951313,9.0,21.0,25.0,28.0,100.0,26313,26313,26313,sample_1,0_5GB,NZ_LT906470_1,region001,Genome5,0.2010783062201078,2041290,410459.1357040439,62262345.29681787,30.501469804299177,0.03,47.395115840255244,-5.501469804299177,16.893646035956067,-0.18036736719893234,0.5538633431223996
NZ_LT906445.1.region001,21700.0,26.01622119815668,10.579369135211524,6.0,20.0,23.0,28.0,109.0,21700,21700,21700,sample_1,0_5GB,NZ_LT906445_1,region001,Genome4,0.1927439608192744,2132142,410957.49410912936,62337941.03924368,29.237237031700367,0.03,43.60350657303483,-6.237237031700367,14.36626954133446,-0.21333195831526985,0.4913689185389811
NC_014328.1.region003,20732.0,11.786031256029329,4.69258950363895,1.0,9.0,11.0,14.0,58.0,20732,20725,20725,sample_3,1GB,NC_014328_1,region003,Genome1,0.099161333,4630065,459123.417276645,142605573.72542185,30.799907501389686,0.03,20.85385096971231,-19.799907501389686,-9.946056531677378,-0.6428560702819097,-0.3229248831746853
NC_014328.1.region005,21571.0,12.597329748273143,20.949103173931373,1.0,8.0,11.0,13.0,460.0,21571,21570,21570,sample_3,1GB,NC_014328_1,region005,Genome1,0.099161333,4630065,459123.417276645,142605573.72542185,30.799907501389686,0.03,20.85385096971231,-19.799907501389686,-9.946056531677378,-0.6428560702819097,-0.3229248831746853
NC_014328.1.region004,22089.0,13.013762506224818,22.09758433082186,1.0,9.0,11.0,13.0,460.0,22089,22066,22066,sample_3,1GB,NC_014328_1,region004,Genome1,0.099161333,4630065,459123.417276645,142605573.72542185,30.799907501389686,0.03,20.85385096971231,-19.799907501389686,-9.946056531677378,-0.6428560702819097,-0.3229248831746853
NC_014328.1.region002,19021.0,11.945796750959468,4.522400819469502,2.0,9.0,11.0,14.0,46.0,19021,19019,19019,sample_3,1GB,NC_014328_1,region002,Genome1,0.099161333,4630065,459123.417276645,142605573.72542185,30.799907501389686,0.03,20.85385096971231,-19.799907501389686,-9.946056531677378,-0.6428560702819097,-0.3229248831746853
NC_014328.1.region001,18132.0,11.65486432825943,7.192769263405539,1.0,9.0,11.0,13.0,411.0,18132,18086,18086,sample_3,1GB,NC_014328_1,region001,Genome1,0.099161333,4630065,459123.417276645,142605573.72542185,30.799907501389686,0.03,20.85385096971231,-19.799907501389686,-9.946056531677378,-0.6428560702819097,-0.3229248831746853
NZ_CP053893.1.region002,19846.0,95.32641338304948,175.1486275945515,7.0,18.0,21.0,29.0,1114.0,19846,19844,19844,sample_3,1GB,NZ_CP053893_1,region002,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,39.811897305814405,-49.71910433316796,-30.907207027353557,-0.7030505377858584,-0.4370418335863704
NZ_CP053893.1.region005,66020.0,19.543017267494697,4.841858838230255,4.0,16.0,19.0,22.0,106.0,66020,65902,65902,sample_3,1GB,NZ_CP053893_1,region005,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,36.02028803859399,-51.71910433316796,-34.69881629457397,-0.7313314389491099,-0.4906568970543351
NZ_CP053893.1.region004,19578.0,21.14761466952702,7.293675414879908,6.0,17.0,20.0,24.0,73.0,19578,19578,19578,sample_3,1GB,NZ_CP053893_1,region004,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,37.9160926722042,-50.71910433316796,-32.80301166096376,-0.7171909883674842,-0.46384936532035265
NZ_CP053893.1.region006,20740.0,23.935342333654773,9.058952850370416,6.0,18.0,21.0,28.0,58.0,20740,20740,20740,sample_3,1GB,NZ_CP053893_1,region006,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,39.811897305814405,-49.71910433316796,-30.907207027353557,-0.7030505377858584,-0.4370418335863704
NZ_CP053893.1.region003,20374.0,20.77108078924119,20.149805035013507,4.0,17.0,19.0,22.0,695.0,20374,20341,20341,sample_3,1GB,NZ_CP053893_1,region003,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,36.02028803859399,-51.71910433316796,-34.69881629457397,-0.7313314389491099,-0.4906568970543351
NZ_CP053893.1.region001,21541.0,19.36247156585117,4.619806286127952,5.0,16.0,19.0,22.0,115.0,21541,21538,21538,sample_3,1GB,NZ_CP053893_1,region001,Genome3,0.2276825232,5984367,1362535.7783148142,423209074.2409673,70.71910433316796,0.03,36.02028803859399,-51.71910433316796,-34.69881629457397,-0.7313314389491099,-0.4906568970543351
NZ_CP020566.1.region001,21701.0,84.77171558914335,16.85709668688518,49.0,74.0,81.0,90.0,207.0,21701,21701,21701,sample_3,1GB,NZ_CP020566_1,region001,Genome2,0.3252943181,2071952,673994.2129759311,209345304.14320487,101.03771908963375,0.03,153.560175322427,-20.037719089633754,52.522456232793246,-0.19831919475396767,0.5198301852617924
NZ_LT906470.1.region002,32244.0,51.94327626845305,22.60187765157823,26.0,44.0,49.0,54.0,367.0,32244,32242,32242,sample_3,1GB,NZ_LT906470_1,region002,Genome5,0.196041361,2041290,400177.26979569,124296664.04208098,60.8912325255505,0.03,92.89442704690029,-11.8912325255505,32.00319452134979,-0.1952864481854729,0.5255796802589103
NZ_LT906470.1.region003,21755.0,49.95467708572742,14.874197893265752,27.0,43.0,48.0,53.0,207.0,21755,21739,21739,sample_3,1GB,NZ_LT906470_1,region003,Genome5,0.196041361,2041290,400177.26979569,124296664.04208098,60.8912325255505,0.03,90.99862241329008,-12.8912325255505,30.10738988773958,-0.21170917373270814,0.49444540106995294
NZ_LT906470.1.region001,26313.0,50.313229202295446,15.392992621145329,21.0,44.0,48.0,53.0,195.0,26313,26313,26313,sample_3,1GB,NZ_LT906470_1,region001,Genome5,0.196041361,2041290,400177.26979569,124296664.04208098,60.8912325255505,0.03,90.99862241329008,-12.8912325255505,30.10738988773958,-0.21170917373270814,0.49444540106995294
NZ_LT906445.1.region001,21700.0,46.40184331797235,27.20734361917286,18.0,33.0,38.0,43.0,207.0,21700,21700,21700,sample_3,1GB,NZ_LT906445_1,region001,Genome4,0.1518204647,2132142,323702.7892463874,100543383.84832494,47.15604488271651,0.03,72.04057607718798,-9.156044882716508,24.88453119447147,-0.1941648182219021,0.5277060715410439
NC_014328.1.region003,20732.0,16.208566467296933,5.643955671152359,4.0,13.0,15.0,18.0,83.0,20732,20725,20725,sample_0,1GB,NC_014328_1,region003,Genome1,0.1387160781861283,4630065,642264.4585468561,214865158.1896663,46.40651010075805,0.03,28.437069504153147,-31.406510100758048,-17.9694405966049,-0.6767694884309998,-0.38721809844329086
NC_014328.1.region005,21571.0,17.55138843818089,30.249159872099547,2.0,12.0,15.0,18.0,673.0,21571,21570,21570,sample_0,1GB,NC_014328_1,region005,Genome1,0.1387160781861283,4630065,642264.4585468561,214865158.1896663,46.40651010075805,0.03,28.437069504153147,-31.406510100758048,-17.9694405966049,-0.6767694884309998,-0.38721809844329086
NC_014328.1.region004,22089.0,17.77957354339264,29.860037918980236,4.0,12.0,15.0,18.0,673.0,22089,22066,22066,sample_0,1GB,NC_014328_1,region004,Genome1,0.1387160781861283,4630065,642264.4585468561,214865158.1896663,46.40651010075805,0.03,28.437069504153147,-31.406510100758048,-17.9694405966049,-0.6767694884309998,-0.38721809844329086
NC_014328.1.region002,19021.0,16.00168235108564,5.752775337919882,4.0,12.0,15.0,18.0,56.0,19021,19019,19019,sample_0,1GB,NC_014328_1,region002,Genome1,0.1387160781861283,4630065,642264.4585468561,214865158.1896663,46.40651010075805,0.03,28.437069504153147,-31.406510100758048,-17.9694405966049,-0.6767694884309998,-0.38721809844329086
NC_014328.1.region001,18132.0,16.717460842709023,9.732230857395928,5.0,13.0,16.0,19.0,580.0,18132,18086,18086,sample_0,1GB,NC_014328_1,region001,Genome1,0.1387160781861283,4630065,642264.4585468561,214865158.1896663,46.40651010075805,0.03,30.33287413776336,-30.406510100758048,-16.07363596299469,-0.6552207876597331,-0.34636597167284355
NZ_CP053893.1.region002,19846.0,68.54529880076589,151.2473690025836,1.0,10.0,13.0,19.0,1084.0,19846,19844,19844,sample_0,1GB,NZ_CP053893_1,region002,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,24.645460236932728,-34.76339466277993,-23.117934425847203,-0.7278250406659146,-0.48400945094177045
NZ_CP053893.1.region005,66020.0,12.460875492275068,3.9026730449384446,1.0,10.0,12.0,15.0,63.0,66020,65902,65902,sample_0,1GB,NZ_CP053893_1,region005,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,22.74965560332252,-35.76339466277993,-25.01373905945741,-0.7487615759993058,-0.5237010316385573
NZ_CP053893.1.region004,19578.0,12.80186944529574,5.272540747729722,2.0,10.0,12.0,15.0,50.0,19578,19578,19578,sample_0,1GB,NZ_CP053893_1,region004,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,22.74965560332252,-35.76339466277993,-25.01373905945741,-0.7487615759993058,-0.5237010316385573
NZ_CP053893.1.region006,20740.0,15.099324975891996,6.942946980947883,2.0,10.0,13.0,18.0,62.0,20740,20740,20740,sample_0,1GB,NZ_CP053893_1,region006,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,24.645460236932728,-34.76339466277993,-23.117934425847203,-0.7278250406659146,-0.48400945094177045
NZ_CP053893.1.region003,20374.0,13.235741631491116,12.71696258679932,2.0,10.0,12.0,15.0,419.0,20374,20341,20341,sample_0,1GB,NZ_CP053893_1,region003,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,22.74965560332252,-35.76339466277993,-25.01373905945741,-0.7487615759993058,-0.5237010316385573
NZ_CP053893.1.region001,21541.0,12.418504247713662,3.707392951657222,3.0,10.0,12.0,15.0,104.0,21541,21538,21538,sample_0,1GB,NZ_CP053893_1,region001,Genome3,0.1427720113857227,5984367,854400.1134603432,285833682.8279163,47.76339466277993,0.03,22.74965560332252,-35.76339466277993,-25.01373905945741,-0.7487615759993058,-0.5237010316385573
NZ_CP020566.1.region001,21701.0,86.08239251647389,17.948303492451736,43.0,75.0,82.0,91.0,199.0,21701,21701,21701,sample_0,1GB,NZ_CP020566_1,region001,Genome2,0.3259798834674019,2071952,675414.6715100503,225955333.9849664,109.05432847139625,0.03,155.4559799560372,-27.054328471396246,46.40165148464095,-0.24808119815704793,0.42549114863250564
NZ_LT906470.1.region002,32244.0,57.55179258156557,24.029883561616103,27.0,49.0,54.0,60.0,393.0,32244,32242,32242,sample_0,1GB,NZ_LT906470_1,region002,Genome5,0.218619331978138,2041290,446265.4561736533,149295039.69795057,73.13759421637816,0.03,102.37345021495133,-19.13759421637816,29.23585599857317,-0.2616656238344323,0.39973773148838687
NZ_LT906470.1.region003,21755.0,57.02528154447253,14.841533846813295,31.0,50.0,55.0,61.0,199.0,21755,21739,21739,sample_0,1GB,NZ_LT906470_1,region003,Genome5,0.218619331978138,2041290,446265.4561736533,149295039.69795057,73.13759421637816,0.03,104.26925484856154,-18.13759421637816,31.131660632183383,-0.24799276501655146,0.4256588005900237
NZ_LT906470.1.region001,26313.0,57.79565233914795,16.51848129617662,30.0,50.0,55.0,61.0,199.0,26313,26313,26313,sample_0,1GB,NZ_LT906470_1,region001,Genome5,0.218619331978138,2041290,446265.4561736533,149295039.69795057,73.13759421637816,0.03,104.26925484856154,-18.13759421637816,31.131660632183383,-0.24799276501655146,0.4256588005900237
NZ_LT906445.1.region001,21700.0,51.975529953917054,27.61752660483444,23.0,38.0,43.0,49.0,199.0,21700,21700,21700,sample_0,1GB,NZ_LT906445_1,region001,Genome4,0.1739126949826087,2132142,370806.5613056093,124050785.2995004,58.18129622675245,0.03,81.51959924523902,-15.181296226752451,23.33830301848657,-0.26093086973493573,0.4011306817147766
NC_014328.1.region003,20732.0,16.549295774647888,6.087533074403223,4.0,13.0,16.0,19.0,103.0,20732,20725,20725,sample_2,1GB,NC_014328_1,region003,Genome1,0.138214488,4630065,639942.06338172,213070705.2679998,46.01894471632684,0.03,30.33287413776336,-30.018944716326843,-15.686070578563484,-0.6523171033445399,-0.3408611534935589
NC_014328.1.region005,21571.0,18.234110611469102,29.49167845149757,3.0,13.0,15.0,19.0,670.0,21571,21570,21570,sample_2,1GB,NC_014328_1,region005,Genome1,0.138214488,4630065,639942.06338172,213070705.2679998,46.01894471632684,0.03,28.437069504153147,-31.018944716326843,-17.581875212173696,-0.6740472843855061,-0.3820573314002115
NC_014328.1.region004,22089.0,18.11811308796233,30.183695149335584,4.0,13.0,16.0,18.0,670.0,22089,22066,22066,sample_2,1GB,NC_014328_1,region004,Genome1,0.138214488,4630065,639942.06338172,213070705.2679998,46.01894471632684,0.03,30.33287413776336,-30.018944716326843,-15.686070578563484,-0.6523171033445399,-0.3408611534935589
NC_014328.1.region002,19021.0,16.167972241207085,5.478733997850808,4.0,13.0,16.0,18.0,56.0,19021,19019,19019,sample_2,1GB,NC_014328_1,region002,Genome1,0.138214488,4630065,639942.06338172,213070705.2679998,46.01894471632684,0.03,30.33287413776336,-30.018944716326843,-15.686070578563484,-0.6523171033445399,-0.3408611534935589
NC_014328.1.region001,18132.0,15.20968453562762,9.3715279030552,3.0,12.0,14.0,17.0,566.0,18132,18086,18086,sample_2,1GB,NC_014328_1,region001,Genome1,0.138214488,4630065,639942.06338172,213070705.2679998,46.01894471632684,0.03,26.54126487054294,-32.01894471632684,-19.477679845783904,-0.6957774654264723,-0.423253509306864
NZ_CP053893.1.region002,19846.0,69.06590748765494,152.80561326189553,3.0,11.0,14.0,20.0,1121.0,19846,19844,19844,sample_2,1GB,NZ_CP053893_1,region002,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,26.54126487054294,-35.01364102614559,-22.472376155602653,-0.7143652316600615,-0.45849228266096576
NZ_CP053893.1.region005,66020.0,12.812526507119054,3.8918073690440274,1.0,10.0,13.0,15.0,63.0,66020,65902,65902,sample_2,1GB,NZ_CP053893_1,region005,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,24.645460236932728,-36.01364102614559,-24.368180789212865,-0.7347677151129143,-0.49717140532803966
NZ_CP053893.1.region004,19578.0,13.572632546736132,5.097081808704671,1.0,10.0,13.0,15.0,48.0,19578,19578,19578,sample_2,1GB,NZ_CP053893_1,region004,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,24.645460236932728,-36.01364102614559,-24.368180789212865,-0.7347677151129143,-0.49717140532803966
NZ_CP053893.1.region006,20740.0,15.6023143683703,7.0665244515535,3.0,11.0,14.0,19.0,63.0,20740,20740,20740,sample_2,1GB,NZ_CP053893_1,region006,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,26.54126487054294,-35.01364102614559,-22.472376155602653,-0.7143652316600615,-0.45849228266096576
NZ_CP053893.1.region003,20374.0,12.52635712182193,12.11210367068337,0.0,9.0,12.0,14.0,414.0,20372,20341,20339,sample_2,1GB,NZ_CP053893_1,region003,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,22.74965560332252,-37.01364102614559,-26.263985422823072,-0.7551701985657671,-0.5358505279951135
NZ_CP053893.1.region001,21541.0,12.638967550253009,3.58950581917912,1.0,10.0,13.0,15.0,76.0,21541,21538,21538,sample_2,1GB,NZ_CP053893_1,region001,Genome3,0.1472088363,5984367,880951.7020621222,293315615.9067118,49.01364102614559,0.03,24.645460236932728,-36.01364102614559,-24.368180789212865,-0.7347677151129143,-0.49717140532803966
NZ_CP020566.1.region001,21701.0,60.50347910234552,18.853440306680984,29.0,50.0,56.0,63.0,206.0,21701,21701,21701,sample_2,1GB,NZ_CP020566_1,region001,Genome2,0.2220722844,2071952,460123.1138071488,153199425.35253856,73.93965948658007,0.03,106.16505948217176,-17.93965948658007,32.22539999559169,-0.24262567086660833,0.43583376254850814
NZ_LT906470.1.region002,32244.0,79.1998511350949,20.878613793781536,43.0,70.0,77.0,83.0,370.0,32244,32242,32242,sample_2,1GB,NZ_LT906470_1,region002,Genome5,0.3046749703,2041290,621929.9701236871,207073522.65812212,101.44248130256952,0.03,145.97695678798615,-24.44248130256952,44.534475485416635,-0.24094916635236518,0.4390120875748786
NZ_LT906470.1.region003,21755.0,78.2636175591818,14.638023336172134,42.0,71.0,77.0,83.0,297.0,21755,21739,21739,sample_2,1GB,NZ_LT906470_1,region003,Genome5,0.3046749703,2041290,621929.9701236871,207073522.65812212,101.44248130256952,0.03,145.97695678798615,-24.44248130256952,44.534475485416635,-0.24094916635236518,0.4390120875748786
NZ_LT906470.1.region001,26313.0,77.40098050393341,15.632234724840362,38.0,69.0,76.0,82.0,212.0,26313,26313,26313,sample_2,1GB,NZ_LT906470_1,region001,Genome5,0.3046749703,2041290,621929.9701236871,207073522.65812212,101.44248130256952,0.03,144.08115215437596,-25.44248130256952,42.63867085180644,-0.25080696938675007,0.42032361890507514
NZ_LT906445.1.region001,21700.0,51.9910138248848,21.27085985879508,18.0,41.0,46.0,52.0,206.0,21700,21700,21700,sample_2,1GB,NZ_LT906445_1,region001,Genome4,0.187829421,2132142,400478.997349782,133340730.81462789,62.53839135227761,0.03,87.20701314606966,-16.538391352277607,24.66862179379205,-0.2644518190293248,0.3944556497277673
NC_014328.1.region003,20732.0,18.24073895427359,6.387784818754132,5.0,15.0,17.0,20.0,91.0,20732,20725,20725,sample_4,1GB,NC_014328_1,region003,Genome1,0.1540974178845902,4630065,713481.0611378151,225547748.1175653,48.71373255398473,0.03,32.228678771373566,-31.713732553984727,-16.48505378261116,-0.6510224302528955,-0.33840670624740915
NC_014328.1.region005,21571.0,19.161234991423672,33.41676200054097,3.0,14.0,16.0,19.0,737.0,21571,21570,21570,sample_4,1GB,NC_014328_1,region005,Genome1,0.1540974178845902,4630065,713481.0611378151,225547748.1175653,48.71373255398473,0.03,30.33287413776336,-32.71373255398473,-18.38085841622137,-0.6715505225909605,-0.3773239588210909
NC_014328.1.region004,22089.0,19.507673502648377,33.21014940378595,5.0,14.0,17.0,19.0,737.0,22089,22066,22066,sample_4,1GB,NC_014328_1,region004,Genome1,0.1540974178845902,4630065,713481.0611378151,225547748.1175653,48.71373255398473,0.03,32.228678771373566,-31.713732553984727,-16.48505378261116,-0.6510224302528955,-0.33840670624740915
NC_014328.1.region002,19021.0,17.561432101361653,6.185144963731624,4.0,14.0,17.0,20.0,68.0,19021,19019,19019,sample_4,1GB,NC_014328_1,region002,Genome1,0.1540974178845902,4630065,713481.0611378151,225547748.1175653,48.71373255398473,0.03,32.228678771373566,-31.713732553984727,-16.48505378261116,-0.6510224302528955,-0.33840670624740915
NC_014328.1.region001,18132.0,18.18188837414516,10.434829788888736,6.0,15.0,17.0,20.0,668.0,18132,18086,18086,sample_4,1GB,NC_014328_1,region001,Genome1,0.1540974178845902,4630065,713481.0611378151,225547748.1175653,48.71373255398473,0.03,32.228678771373566,-31.713732553984727,-16.48505378261116,-0.6510224302528955,-0.33840670624740915
NZ_CP053893.1.region002,19846.0,80.67928045953845,162.61081987755912,3.0,13.0,17.0,24.0,1112.0,19846,19844,19844,sample_4,1GB,NZ_CP053893_1,region002,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,32.228678771373566,-39.16682269496221,-23.93814392358864,-0.697330217656681,-0.4261972241797422
NZ_CP053893.1.region005,66020.0,15.283459557709785,4.382887441590216,2.0,12.0,15.0,18.0,86.0,66020,65902,65902,sample_4,1GB,NZ_CP053893_1,region005,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,28.437069504153147,-41.16682269496221,-27.72975319080906,-0.7329384273441303,-0.49370343309977255
NZ_CP053893.1.region004,19578.0,16.858208192869547,6.374178135586811,2.0,13.0,16.0,19.0,67.0,19578,19578,19578,sample_4,1GB,NZ_CP053893_1,region004,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,30.33287413776336,-40.16682269496221,-25.83394855719885,-0.7151343225004057,-0.4599503286397573
NZ_CP053893.1.region006,20740.0,18.54715525554484,7.973414291422433,3.0,13.0,16.0,22.0,55.0,20740,20740,20740,sample_4,1GB,NZ_CP053893_1,region006,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,30.33287413776336,-40.16682269496221,-25.83394855719885,-0.7151343225004057,-0.4599503286397573
NZ_CP053893.1.region003,20374.0,16.14955335231177,15.59052636669765,2.0,12.0,15.0,18.0,525.0,20374,20341,20341,sample_4,1GB,NZ_CP053893_1,region003,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,28.437069504153147,-41.16682269496221,-27.72975319080906,-0.7329384273441303,-0.49370343309977255
NZ_CP053893.1.region001,21541.0,15.18922055614874,4.094693539407944,2.0,12.0,15.0,18.0,68.0,21541,21538,21538,sample_4,1GB,NZ_CP053893_1,region001,Genome3,0.1776739718822325,5984367,1063266.25409096,336122880.2305829,56.16682269496221,0.03,28.437069504153147,-41.16682269496221,-27.72975319080906,-0.7329384273441303,-0.49370343309977255
NZ_CP020566.1.region001,21701.0,68.44200728077047,17.171445414152508,40.0,58.0,64.0,72.0,187.0,21701,21701,21701,sample_4,1GB,NZ_CP020566_1,region001,Genome2,0.2547685698745231,2071952,527868.247888658,166871275.3554844,80.53819555447443,0.03,121.33149655105343,-16.538195554474427,40.793300996579006,-0.2053459906894527,0.5065087529678665
NZ_LT906470.1.region002,32244.0,66.23657114501923,19.9656540955683,33.0,58.0,64.0,70.0,345.0,32244,32242,32242,sample_4,1GB,NZ_LT906470_1,region002,Genome5,0.2514535408748546,2041290,513289.598452432,162262629.47819594,79.49023875989984,0.03,121.33149655105343,-15.490238759899839,41.841257791153595,-0.19486969723022327,0.5263697586509339
NZ_LT906470.1.region003,21755.0,63.18616410020685,13.472427372949385,31.0,56.0,62.0,68.0,227.0,21755,21739,21739,sample_4,1GB,NZ_LT906470_1,region003,Genome5,0.2514535408748546,2041290,513289.598452432,162262629.47819594,79.49023875989984,0.03,117.53988728383301,-17.49023875989984,38.04964852393317,-0.22003001919177878,0.4786707036930922
NZ_LT906470.1.region001,26313.0,65.7197582943792,15.67894321453702,32.0,58.0,64.0,70.0,194.0,26313,26313,26313,sample_4,1GB,NZ_LT906470_1,region001,Genome5,0.2514535408748546,2041290,513289.598452432,162262629.47819594,79.49023875989984,0.03,121.33149655105343,-15.490238759899839,41.841257791153595,-0.19486969723022327,0.5263697586509339
NZ_LT906445.1.region001,21700.0,47.40198156682028,23.03581379531561,18.0,35.0,41.0,47.0,187.0,21700,21700,21700,sample_4,1GB,NZ_LT906445_1,region001,Genome4,0.1620064994837993,2132142,345420.8618223868,109195466.81817144,51.21397487511218,0.03,77.7279899780186,-10.213974875112179,26.51401510290642,-0.1994372610214197,0.5177105500512733
NC_014328.1.region003,20732.0,23.506849315068493,8.963047070740291,8.0,19.0,22.0,26.0,91.0,20732,20725,20725,sample_1,1GB,NC_014328_1,region003,Genome1,0.2010783062201078,4630065,931005.6278890036,289726606.5556955,62.575062457156754,0.03,41.70770193942462,-40.575062457156754,-20.867360517732138,-0.6484222446431799,-0.33347726232026353
NC_014328.1.region005,21571.0,25.93199202633165,44.07010432420305,6.0,19.0,22.0,26.0,991.0,21571,21570,21570,sample_1,1GB,NC_014328_1,region005,Genome1,0.2010783062201078,4630065,931005.6278890036,289726606.5556955,62.575062457156754,0.03,41.70770193942462,-40.575062457156754,-20.867360517732138,-0.6484222446431799,-0.33347726232026353
NC_014328.1.region004,22089.0,25.79804427543121,43.416692051053055,5.0,19.0,22.0,26.0,991.0,22089,22066,22066,sample_1,1GB,NC_014328_1,region004,Genome1,0.2010783062201078,4630065,931005.6278890036,289726606.5556955,62.575062457156754,0.03,41.70770193942462,-40.575062457156754,-20.867360517732138,-0.6484222446431799,-0.33347726232026353
NC_014328.1.region002,19021.0,23.24741075653225,8.472531496362272,8.0,19.0,22.0,25.0,91.0,19021,19019,19019,sample_1,1GB,NC_014328_1,region002,Genome1,0.2010783062201078,4630065,931005.6278890036,289726606.5556955,62.575062457156754,0.03,41.70770193942462,-40.575062457156754,-20.867360517732138,-0.6484222446431799,-0.33347726232026353
NC_014328.1.region001,18132.0,23.030498566071035,12.995644498247406,9.0,19.0,22.0,25.0,833.0,18132,18086,18086,sample_1,1GB,NC_014328_1,region001,Genome1,0.2010783062201078,4630065,931005.6278890036,289726606.5556955,62.575062457156754,0.03,41.70770193942462,-40.575062457156754,-20.867360517732138,-0.6484222446431799,-0.33347726232026353
NZ_CP053893.1.region002,19846.0,76.52161644663911,160.83792934997894,3.0,12.0,15.0,22.0,1183.0,19846,19844,19844,sample_1,1GB,NZ_CP053893_1,region002,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,28.437069504153147,-34.224269485269154,-20.787199981116007,-0.6952722679919324,-0.42229575366957517
NZ_CP053893.1.region005,66020.0,13.865268100575584,4.22492856197195,2.0,11.0,14.0,16.0,86.0,66020,65902,65902,sample_1,1GB,NZ_CP053893_1,region005,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,26.54126487054294,-35.224269485269154,-22.683004614726215,-0.7155874501258035,-0.46080937009160344
NZ_CP053893.1.region004,19578.0,14.463990193073858,5.578048949275052,3.0,11.0,14.0,17.0,52.0,19578,19578,19578,sample_1,1GB,NZ_CP053893_1,region004,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,26.54126487054294,-35.224269485269154,-22.683004614726215,-0.7155874501258035,-0.46080937009160344
NZ_CP053893.1.region006,20740.0,16.430617164898745,6.637853587625199,3.0,12.0,15.0,20.0,63.0,20740,20740,20740,sample_1,1GB,NZ_CP053893_1,region006,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,28.437069504153147,-34.224269485269154,-20.787199981116007,-0.6952722679919324,-0.42229575366957517
NZ_CP053893.1.region003,20374.0,14.360017669578877,13.797218528032165,2.0,11.0,13.0,16.0,446.0,20374,20341,20341,sample_1,1GB,NZ_CP053893_1,region003,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,24.645460236932728,-36.224269485269154,-24.578809248336427,-0.7359026322596747,-0.4993229865136318
NZ_CP053893.1.region001,21541.0,13.45852096002971,3.9779229921372266,2.0,11.0,13.0,16.0,67.0,21541,21538,21538,sample_1,1GB,NZ_CP053893_1,region001,Genome3,0.1581769533158177,5984367,946588.93958372,294576093.9067517,49.224269485269154,0.03,24.645460236932728,-36.224269485269154,-24.578809248336427,-0.7359026322596747,-0.4993229865136318
NZ_CP020566.1.region001,21701.0,58.154647251278746,20.53732692955088,25.0,47.0,52.0,59.0,175.0,21701,21701,21701,sample_1,1GB,NZ_CP020566_1,region001,Genome2,0.2134665156213466,2071952,442292.3739746804,137640272.81736726,66.43024202171057,0.03,98.58184094773091,-14.43024202171057,32.15159892602034,-0.21722398688528807,0.4839903927417972
